# filmdec_pos_rosetta records=54799
eid,slot,bitCursor,x,y,z,sighex
1073742336,512,88,41.7818,8.4377,0.1924,b0486a137232a1101a201905f4a53d3b
1073742339,515,216,43.2191,9.6187,0.5031,e9194408900055640ad8a484d6001038
1073742340,516,318,-2.7736,16.5657,-1.2180,0ad8a484d60010388edfc13ce465102a
1073742341,517,464,-3.3817,16.1489,-1.2180,19440c8c005902bf28453580093923ae
1073742342,518,560,-2.2761,15.0096,-1.2180,28453580093923ae32941d1251ceeeff
1073742336,512,88,41.7403,8.4377,0.1756,b0486a137232a1101a201905f4a53d3b
1073742336,512,82,41.7403,8.4377,0.1756,121a84dd8d12800600044068806417cf
1073742339,515,238,43.1776,9.6187,0.5031,94f4efa4691022400155902b6e91d358
1073742340,516,340,-2.7322,16.5379,-1.2180,0044543b3efcf351a440a880640aa9a3
1073742341,517,486,-3.3817,16.1489,-1.2180,a4d6046910323001640b00a114d60027
1073742342,518,582,-2.2346,15.0096,-1.2180,7a0ed8d2507449473ddbffffffffe494
1073742336,512,82,41.7127,8.4238,0.1505,121a84dd8d12800600044068806417cf
1073742336,512,76,41.7127,8.4238,0.1505,86a138236880d100c82f9929e9df48da
1073742339,515,197,43.1362,9.6187,0.5031,20448002ab2056f52326b0007f78767d
1073742340,516,299,-2.6907,16.5101,-1.2180,2326b0007f78767df1e6a368815100c8
1073742341,517,445,-3.3817,16.1489,-1.2180,15554749ac08da20646002c816094229
1073742342,518,541,-2.1794,15.0096,-1.2180,ac004ca81d91b4a0e8928e7ff7ffffff
1073742336,512,76,41.6712,8.4099,0.1337,86a138236880d100c82f9929e9df48da
1073742336,512,76,41.6712,8.4099,0.1337,86a138638880d1800b20be4ca7a77d09
1073742339,515,203,43.0947,9.6187,0.5031,57806e4711022400155902b869153580
1073742340,516,336,-2.6492,16.4823,-1.2180,0432e3afef8f351c440a880640aaaa3a
1073742341,517,482,-3.3679,16.1489,-1.2180,4d6047110323001640b07a10cd600265
1073742342,518,578,-2.1241,15.0096,-1.2180,40eb8e250744947421bffffffffe49b0
1073742336,512,76,41.6298,8.4099,0.1169,86a138638880d1800b20be4ca7a77d09
1073742336,512,76,41.6298,8.4099,0.1169,857b3863a880d1800b20be34a7a77e09
1073742339,515,203,43.0532,9.6187,0.5031,57806ec751022400155902b929133580
1073742340,516,336,-2.6078,16.4546,-1.2180,04d843afef8f311d440a880640aaba3a
1073742341,517,482,-3.3679,16.1489,-1.2180,4d6047510323001640b0ba10cd60024e
1073742342,518,578,-2.0826,14.9957,-1.2180,48eb8ea507449474443ffffffffe49e8
1073742336,512,76,41.5883,8.3960,0.0917,857b3863a880d1800b20be34a7a77e09
1073742336,512,76,41.5883,8.3960,0.0917,832f3863c880d1800b20be1ca7a77f09
1073742339,515,203,43.0118,9.6187,0.5115,57806f47910223001640ae7a43cd6001
1073742340,516,330,-2.5663,16.4407,-1.2180,5638eb8f2205440320555d1d26b023c8
1073742341,517,451,-3.3541,16.1489,-1.2180,819100c8161d4209ac08f25074494746
1073742342,518,541,-2.0273,14.9957,-1.2180,ac08f2507449474663ffffffffe4a180
1073742336,512,76,41.5607,8.3960,0.0749,832f3863c880d1800b20be1ca7a77f09
1073742336,512,115,41.5607,8.3960,0.0749,d491674808f64a71c7d101a201905f02
1073742339,515,236,42.9703,9.6187,0.5199,53d3bf91f44088c005902baa90d35800
1073742340,516,332,-2.5249,16.4129,-1.2180,62303ae3e8815100c815574749ac08fa
