film	no_scope	counter_snipe	snipe	instants_no_scope_ms	instants_counter_ms
8a049c50	4	0	4	178514,232412,245927,262093	-
8a485699	1	0	1	274517	-
8a48a47f	3	0	0	162340,279940,533099	-
8a726369	1	0	2	78830	-
8b512df2	2	0	2	107565,895166	-
8b86f690	2	0	0	342448,348720	-
8d4ec71f	2	0	8	154608,159129	-
8d827e90	2	0	2	75765,221870	-
8e635dd2	7	0	0	111899,182111,341554,424946,434575,479427,480867	-
8e8865cf	0	1	7	-	594992
8e9fca5f	0	1	4	-	56973
8ebab517	1	0	0	236280	-
8f0ebedc	2	0	6	161706,161708	-
8f47559b	1	0	1	385908	-
8faf5c41	1	3	6	171442	94096,179585,475234
90f74722	4	0	2	250296,270182,300146,354467	-
9123a92b	2	0	2	227436,303462	-
9126ddc0	1	1	3	450764	283778
9261dd68	8	0	5	225305,252032,318037,390731,430458,494457,500518,512513	-
92ab9c33	8	0	1	79302,86025,125585,187165,195489,228623,378569,384541	-
92d81b6d	4	0	0	74929,359799,401607,509566	-
92dd2648	1	0	0	358188	-
92f18088	3	0	3	138717,314491,607601	-
92f7c713	7	0	1	153997,202381,207185,283050,360478,401875,462201	-
93264dc7	4	0	0	47968,171275,413672,424032	-
93fcc545	7	0	9	108920,132774,148857,153195,156331,807453,807953	-
941f7f8c	1	0	3	475867	-
946034f3	2	0	7	102356,326181	-
94e3d514	1	0	0	507232	-
94eea904	1	0	1	243028	-
95934c2c	2	0	0	452558,457296	-
95b2e456	2	0	1	421834,452649	-
963e8c72	5	0	2	57244,59346,65568,235456,389027	-
96be7ab9	1	0	0	272933	-
970d9f36	6	0	5	99256,174882,295685,546240,548125,596989	-
972cdbc6	1	1	3	305909	233800
97b34406	1	0	5	482114	-
981a95c0	2	2	7	53447,227807	249095,436383
981d972f	5	1	2	428150,430703,440763,468224,532388	266437
988350d5	2	0	0	221493,262562	-
98dd71ff	1	0	1	250078	-
9a2241c5	2	0	0	199388,396120	-
9a8d7d9b	2	0	1	177321,211790	-
9ac5f43c	1	0	7	173395	-
9ae1d4ae	5	3	16	188434,456491,469270,640881,661902	66083,486225,696113
9aeca4b3	3	1	3	94548,284720,639493	37907
9b3b9c1a	8	1	9	86711,260892,278877,298564,299932,314647,320122,327863	705971
9b4bead3	1	1	8	426249	477633
9b4dba45	1	0	0	440600	-
