pitch_raw	compte	part
1236	6	0.000078
1237	6	0.000078
1238	7	0.000091
1239	11	0.000143
1240	6	0.000078
1241	9	0.000117
1242	5	0.000065
1243	7	0.000091
1244	7	0.000091
1245	4	0.000052
1246	7	0.000091
1247	13	0.000169
1248	13	0.000169
1249	7	0.000091
1250	5	0.000065
1251	4	0.000052
1252	4	0.000052
1253	3	0.000039
1254	6	0.000078
1255	7	0.000091
1256	5	0.000065
1257	3	0.000039
1258	1	0.000013
1260	2	0.000026
1261	3	0.000039
1262	5	0.000065
1263	10	0.000130
1264	9	0.000117
1265	1	0.000013
1266	3	0.000039
1268	2	0.000026
1269	2	0.000026
1270	1	0.000013
1271	2	0.000026
1272	1	0.000013
1273	2	0.000026
1274	3	0.000039
1275	1	0.000013
1276	1	0.000013
1277	5	0.000065
1278	3	0.000039
1279	2	0.000026
1280	2	0.000026
1281	4	0.000052
1282	1	0.000013
1283	1	0.000013
1284	2	0.000026
1285	5	0.000065
1286	1	0.000013
1287	2	0.000026
1288	2	0.000026
1289	1	0.000013
1290	2	0.000026
1291	3	0.000039
1292	2	0.000026
1294	2	0.000026
1295	2	0.000026
1296	2	0.000026
1297	1	0.000013
1298	4	0.000052
1299	5	0.000065
1300	4	0.000052
1301	1	0.000013
1302	8	0.000104
1303	8	0.000104
1304	6	0.000078
1305	5	0.000065
1306	1	0.000013
1307	3	0.000039
1308	3	0.000039
1309	3	0.000039
1310	4	0.000052
1311	6	0.000078
1312	2	0.000026
1313	5	0.000065
1314	3	0.000039
1315	8	0.000104
1316	3	0.000039
1317	3	0.000039
1318	1	0.000013
1319	2	0.000026
1320	2	0.000026
1321	1	0.000013
1322	2	0.000026
1329	3	0.000039
1331	2	0.000026
1341	1	0.000013
1342	2	0.000026
1344	2	0.000026
1345	2	0.000026
1346	1	0.000013
1347	2	0.000026
1349	1	0.000013
1351	1	0.000013
1352	2	0.000026
1353	1	0.000013
1355	1	0.000013
1358	4	0.000052
1370	1	0.000013
1372	1	0.000013
1376	2	0.000026
1379	2	0.000026
1381	1	0.000013
1390	1	0.000013
1393	1	0.000013
1397	1	0.000013
1399	1	0.000013
1401	2	0.000026
