bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	12	player-masked-property (i12)	2	22	764	1337	1536	0	200003A0207AFBE0	0	0	[non chaine]
reelle	12	player-masked-property (i12)	3	3	810	979	1542	3	3D54932AA16DF2FC	0	0	[non chaine]
reelle	12	player-masked-property (i12)	3	6	1130	304	1539	1	365F720088391800	0	0	[non chaine]
reelle	12	player-masked-property (i12)	4	9	822	484	1526	1	4D73443690005980	0	0	[non chaine]
reelle	12	player-masked-property (i12)	4	20	206	1440	1545	3	43B5A1241B6B5D4F	0	0	[non chaine]
reelle	12	player-masked-property (i12)	4	22	1064	1727	1536	0	400003A0207BF380	0	0	[non chaine]
reelle	12	player-masked-property (i12)	5	24	510	149	1538	1	5705B78211A65CEA	0	0	[non chaine]
reelle	12	player-masked-property (i12)	6	17	1136	1907	1537	0	6429574800210633	0	0	[non chaine]
reelle	12	player-masked-property (i12)	6	24	1216	1909	1538	2	67BBE7573A400108	0	0	[non chaine]
reelle	12	player-masked-property (i12)	8	23	2022	1989	1536	0	800003A0201BF000	32	14850	[non chaine]
reelle	12	player-masked-property (i12)	10	22	2134	389	1547	2	A0C1BF5001A64189	1	0	[non chaine]
reelle	12	player-masked-property (i12)	11	16	2078	149	1545	3	BE04B10207266E09	4	14	[non chaine]
reelle	12	player-masked-property (i12)	12	22	2256	2503	1536	0	C00003A154522001	4	0	[non chaine]
reelle	12	player-masked-property (i12)	12	25	86	1629	1536	0	C00003A0203A0340	4	0	[non chaine]
reelle	12	player-masked-property (i12)	13	11	596	709	1523	0	D80203BF3E0816BE	4	8	[non chaine]
reelle	12	player-masked-property (i12)	14	11	1590	1237	1538	0	E34E3ED0A55100F1	4	3	[non chaine]
reelle	12	player-masked-property (i12)	14	18	990	1997	1530	0	E32F7F4C6A200119	4	3	[non chaine]
reelle	12	player-masked-property (i12)	14	21	1292	149	1538	1	E300B782C7898EF2	4	3	[non chaine]
reelle	12	player-masked-property (i12)	15	3	1448	496	1523	0	F119F0322880D200	4	1	[non chaine]
reelle	12	player-masked-property (i12)	15	16	1336	149	1547	3	F5403C1C022605E9	4	5	[non chaine]
reelle	13	player-masked-property (i13)	0	9	2198	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	13	player-masked-property (i13)	0	4	248	371	1536	1	001B80011A000000	0	0	[non chaine]
reelle	13	player-masked-property (i13)	0	8	2356	1659	1521	2	09EB1B3C82400108	0	0	[non chaine]
reelle	13	player-masked-property (i13)	1	18	2102	416	1539	3	19022E001AA66B19	0	0	[non chaine]
reelle	13	player-masked-property (i13)	1	22	976	196	1540	0	1A24B4602AC831C3	0	0	[non chaine]
reelle	13	player-masked-property (i13)	2	11	786	149	1547	3	2F013C041AA62459	0	0	[non chaine]
reelle	13	player-masked-property (i13)	2	12	2068	149	1536	0	29828005E98B8289	0	0	[non chaine]
reelle	13	player-masked-property (i13)	2	16	1440	129	1545	2	200000023D5E0100	0	0	[non chaine]
reelle	13	player-masked-property (i13)	3	19	734	891	1541	3	3948800465DB9795	0	0	[non chaine]
reelle	13	player-masked-property (i13)	3	19	736	996	1541	3	3948800465DF9797	0	0	[non chaine]
reelle	13	player-masked-property (i13)	3	19	740	818	1541	3	3949000420C65E69	0	0	[non chaine]
