ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
11	46	(hors grammaire)	hors_grammaire	23	20	350.0	500.9	0.066	0.040	1.65x	0.82x
11	47	(hors grammaire)	hors_grammaire	69	70	350.0	500.9	0.197	0.140	1.41x	0.95x
11	48	(hors grammaire)	hors_grammaire	76	77	350.0	500.9	0.217	0.154	1.41x	1.27x
11	49	(hors grammaire)	hors_grammaire	10	21	350.0	500.9	0.029	0.042	0.68x	0.53x
11	50	(hors grammaire)	hors_grammaire	25	48	350.0	500.9	0.071	0.096	0.75x	0.51x
11	51	(hors grammaire)	hors_grammaire	20	19	350.0	500.9	0.057	0.038	1.51x	1.41x
11	52	(hors grammaire)	hors_grammaire	49	98	350.0	500.9	0.140	0.196	0.72x	0.81x
11	53	(hors grammaire)	hors_grammaire	22	25	350.0	500.9	0.063	0.050	1.26x	1.10x
11	54	(hors grammaire)	hors_grammaire	26	28	350.0	500.9	0.074	0.056	1.33x	0.72x
11	55	(hors grammaire)	hors_grammaire	27	42	350.0	500.9	0.077	0.084	0.92x	1.09x
11	56	(hors grammaire)	hors_grammaire	35	71	350.0	500.9	0.100	0.142	0.71x	0.89x
11	57	(hors grammaire)	hors_grammaire	33	39	350.0	500.9	0.094	0.078	1.21x	1.58x
11	58	(hors grammaire)	hors_grammaire	24	86	350.0	500.9	0.069	0.172	0.40x	0.40x
11	59	(hors grammaire)	hors_grammaire	22	37	350.0	500.9	0.063	0.074	0.85x	1.02x
11	60	(hors grammaire)	hors_grammaire	39	80	350.0	500.9	0.111	0.160	0.70x	0.73x
11	61	(hors grammaire)	hors_grammaire	33	52	350.0	500.9	0.094	0.104	0.91x	0.37x
11	62	(hors grammaire)	hors_grammaire	38	58	350.0	500.9	0.109	0.116	0.94x	0.51x
11	63	(hors grammaire)	hors_grammaire	12	38	350.0	500.9	0.034	0.076	0.45x	0.49x
13	0	managed-object-property-name-component	porte	151	307	350.0	500.9	0.431	0.613	0.70x	0.94x
13	1	managed-object-property-component	non_porte	911	440	350.0	500.9	2.603	0.878	2.96x	2.37x
13	2	managed-object-player-masked-property-component	non_porte	83	222	350.0	500.9	0.237	0.443	0.54x	0.57x
13	3	managed-object-player-masked-property-component	non_porte	124	163	350.0	500.9	0.354	0.325	1.09x	0.97x
13	4	managed-object-player-masked-property-component	non_porte	223	205	350.0	500.9	0.637	0.409	1.56x	1.48x
13	5	managed-object-player-masked-property-component	non_porte	91	94	350.0	500.9	0.260	0.188	1.39x	0.96x
13	6	managed-object-player-masked-property-component	non_porte	153	106	350.0	500.9	0.437	0.212	2.07x	1.55x
13	7	managed-object-player-masked-property-component	non_porte	88	60	350.0	500.9	0.251	0.120	2.10x	2.19x
13	8	managed-object-player-masked-property-component	non_porte	171	190	350.0	500.9	0.489	0.379	1.29x	1.23x
13	9	managed-object-player-masked-property-component	non_porte	68	79	350.0	500.9	0.194	0.158	1.23x	1.21x
13	10	managed-object-player-masked-property-component	non_porte	94	107	350.0	500.9	0.269	0.214	1.26x	0.79x
13	11	managed-object-player-masked-property-component	non_porte	69	87	350.0	500.9	0.197	0.174	1.13x	0.86x
13	12	managed-object-player-masked-property-component	non_porte	68	107	350.0	500.9	0.194	0.214	0.91x	0.84x
13	13	managed-object-player-masked-property-component	non_porte	42	120	350.0	500.9	0.120	0.240	0.50x	0.60x
13	14	managed-object-player-masked-property-component	non_porte	79	134	350.0	500.9	0.226	0.268	0.84x	0.99x
13	15	managed-object-player-masked-property-component	non_porte	53	37	350.0	500.9	0.151	0.074	2.05x	2.19x
13	16	managed-object-player-masked-property-component	non_porte	77	138	350.0	500.9	0.220	0.275	0.80x	0.50x
13	17	managed-object-player-masked-property-component	non_porte	64	70	350.0	500.9	0.183	0.140	1.31x	0.79x
13	18	managed-object-player-masked-property-component	non_porte	81	79	350.0	500.9	0.231	0.158	1.47x	1.01x
13	19	managed-object-player-masked-property-component	non_porte	57	64	350.0	500.9	0.163	0.128	1.27x	0.71x
13	20	managed-object-player-masked-property-component	non_porte	85	79	350.0	500.9	0.243	0.158	1.54x	1.28x
13	21	managed-object-player-masked-property-component	non_porte	39	50	350.0	500.9	0.111	0.100	1.12x	1.41x
13	22	managed-object-player-masked-property-component	non_porte	51	54	350.0	500.9	0.146	0.108	1.35x	0.95x
13	23	managed-object-player-masked-property-component	non_porte	66	78	350.0	500.9	0.189	0.156	1.21x	0.99x
13	24	managed-object-player-masked-property-component	non_porte	57	41	350.0	500.9	0.163	0.082	1.99x	2.48x
