metaext	24dbb67d	Ranked:Oddball	200	121	519	7341	49	7292	0	373	34212	518050	1196
forme_gen	1	7341
serieh	6	418765	26	1	1
serieh	6	419766	27	1	1
serieh	6	420767	28	1	1
serieh	6	421768	29	1	1
serieh	6	422769	30	1	1
serieh	6	423770	31	1	1
serieh	6	424771	32	1	1
serieh	6	425772	33	1	1
serieh	6	426773	34	1	1
serieh	6	427774	35	1	1
serieh	6	428776	36	1	1
serieh	6	429776	37	1	1
serieh	6	430777	38	1	1
serieh	6	431778	39	1	1
serieh	6	432779	40	1	1
serieh	6	433780	41	1	1
serieh	6	434781	42	1	1
serieh	6	435782	43	1	1
serieh	6	436783	44	1	1
serieh	6	437785	45	1	1
serieh	6	438785	46	1	1
serieh	6	439786	47	1	1
serieh	6	440787	48	1	1
serieh	6	441788	49	1	1
serieh	6	442790	50	1	1
serieh	6	443791	51	1	1
serieh	6	444792	52	1	1
serieh	6	445793	53	1	1
serieh	6	446794	54	1	1
serieh	6	447794	55	1	1
serieh	6	448796	56	1	1
serieh	6	449797	57	1	1
serieh	6	450798	58	1	1
serieh	6	451798	59	1	1
serieh	6	452800	60	1	1
serieh	6	453801	61	1	1
serieh	6	454802	62	1	1
serieh	6	455803	63	1	1
serieh	6	456804	64	1	1
serieh	6	457805	65	1	1
serieh	6	458806	66	1	1
serieh	6	459807	67	1	1
serieh	6	460808	68	1	1
serieh	6	461809	69	1	1
serieh	6	474889	70	1	1
serieh	6	475890	71	1	1
serieh	6	476891	72	1	1
serieh	6	477892	73	1	1
serieh	6	478893	74	1	1
serieh	6	479894	75	1	1
serieh	6	480895	76	1	1
serieh	6	481895	77	1	1
serieh	6	482897	78	1	1
serieh	6	483898	79	1	1
serieh	6	484899	80	1	1
serieh	6	485900	81	1	1
serieh	6	486901	82	1	1
serieh	6	487902	83	1	1
serieh	6	488903	84	1	1
serieh	6	489904	85	1	1
serieh	6	490905	86	1	1
serieh	6	491906	87	1	1
serieh	6	492906	88	1	1
serieh	6	493908	89	1	1
serieh	6	494909	90	1	1
serieh	6	495909	91	1	1
serieh	6	496910	92	1	1
